x,y_interpolated
2460163.771,1.0302853
2460163.772,1.03207105
2460163.772,1.033328212
2460163.772,1.034496033
2460163.772,1.036013749
2460163.772,1.038233597
2460163.772,1.040685451
2460163.773,1.042446596
2460163.773,1.042589589
2460163.773,1.040238157
2460163.773,1.035753663
2460163.773,1.03077017
2460163.773,1.026979902
2460163.774,1.026065085
2460163.774,1.028546688
2460163.774,1.032713661
2460163.774,1.036601736
2460163.774,1.038246682
2460163.774,1.036327402
2460163.775,1.031981477
2460163.775,1.02693385
2460163.775,1.022909504
2460163.775,1.021436007
2460163.775,1.02244959
2460163.775,1.025117942
2460163.776,1.028603767
2460163.776,1.032091645
2460163.776,1.035208109
2460163.776,1.037989888
2460163.776,1.040489252
2460163.776,1.042757149
2460163.777,1.044721316
2460163.777,1.046089063
2460163.777,1.046544814
2460163.777,1.045773006
2460163.777,1.043652973
2460163.777,1.040758684
2460163.778,1.037818764
2460163.778,1.035561866
2460163.778,1.034602738
2460163.778,1.034703539
2460163.778,1.035240023
2460163.778,1.035586025
2460163.779,1.035146619
2460163.779,1.033878056
2460163.779,1.032208277
2460163.779,1.030580441
2460163.779,1.029435071
2460163.779,1.029033197
2460163.78,1.029344092
2460163.78,1.030310281
2460163.78,1.031874273
2460163.78,1.033896702
2460163.78,1.035973378
2460163.78,1.03764668
2460163.781,1.03845897
2460163.781,1.038048412
2460163.781,1.036702461
2460163.781,1.034978071
2460163.781,1.033433084
2460163.781,1.032591273
2460163.782,1.032433477
2460163.782,1.032504919
2460163.782,1.032338544
2460163.782,1.031475979
2460163.782,1.029917792
2460163.782,1.028342418
2460163.783,1.027482857
2460163.783,1.028071686
2460163.783,1.03043046
2460163.783,1.033698633
2460163.783,1.036804481
2460163.783,1.038676255
2460163.784,1.038450448
2460163.784,1.036479248
2460163.784,1.033554727
2460163.784,1.030469581
2460163.784,1.027979335
2460163.784,1.026358529
2460163.785,1.025546538
2460163.785,1.025475912
2460163.785,1.026073967
2460163.785,1.027069859
2460163.785,1.027938356
2460163.785,1.028137526
2460163.786,1.027126446
2460163.786,1.024772587
2460163.786,1.021976861
2460163.786,1.019801126
2460163.786,1.01930727
2460163.786,1.021259191
2460163.786,1.02488588
2460163.787,1.028923553
2460163.787,1.032108168
2460163.787,1.03327442
2460163.787,1.032357275
2460163.787,1.029979615
2460163.787,1.02677486
2460163.788,1.023369549
2460163.788,1.020179739
2460163.788,1.017376573
2460163.788,1.015117421
2460163.788,1.013559221
2460163.788,1.01277229
2460163.789,1.012633879
2460163.789,1.012995159
2460163.789,1.013707299
2460163.789,1.014642185
2460163.789,1.015762454
2460163.789,1.017055595
2460163.79,1.018509088
2460163.79,1.020102146
2460163.79,1.021735053
2460163.79,1.023264256
2460163.79,1.024545733
2460163.79,1.025440835
2460163.791,1.0259448
2460163.791,1.026192933
2460163.791,1.02632713
2460163.791,1.026488474
2460163.791,1.02670384
2460163.791,1.0267694
2460163.792,1.026453543
2460163.792,1.025524653
2460163.792,1.023875272
2460163.792,1.021891875
2460163.792,1.02008373
2460163.792,1.018960121
2460163.793,1.018939251
2460163.793,1.019692732
2460163.793,1.020526466
2460163.793,1.02074385
2460163.793,1.019694707
2460163.793,1.017708947
2460163.794,1.016050159
2460163.794,1.016019066
2460163.794,1.018901839
2460163.794,1.024719505
2460163.794,1.031265639
2460163.794,1.036107344
2460163.795,1.036811676
2460163.795,1.031921566
2460163.795,1.02360721
2460163.795,1.014881302
2460163.795,1.008756608
2460163.795,1.00780446
2460163.796,1.011133109
2460163.796,1.016216466
2460163.796,1.020518773
2460163.796,1.0216256
2460163.796,1.0194143
2460163.796,1.015807558
2460163.797,1.012799845
2460163.797,1.012368823
2460163.797,1.01516783
2460163.797,1.019590494
2460163.797,1.02380973
2460163.797,1.025998546
2460163.798,1.025024664
2460163.798,1.022071007
2460163.798,1.018802171
2460163.798,1.016882774
2460163.798,1.017675199
2460163.798,1.020442876
2460163.799,1.023558698
2460163.799,1.025392323
2460163.799,1.024416881
2460163.799,1.020781013
2460163.799,1.015991718
2460163.799,1.011595143
2460163.8,1.009120192
2460163.8,1.009134992
2460163.8,1.010758099
2460163.8,1.012987925
2460163.8,1.014823118
2460163.8,1.015527661
2460163.801,1.015135276
2460163.801,1.013818459
2460163.801,1.011749711
2460163.801,1.009158949
2460163.801,1.006613371
2460163.801,1.004802992
2460163.802,1.004417993
2460163.802,1.00607495
2460163.802,1.009414321
2460163.802,1.01338444
2460163.802,1.016918941
2460163.802,1.018970069
2460163.803,1.019237654
2460163.803,1.01840764
2460163.803,1.017233389
2460163.803,1.016467319
2460163.803,1.016474815
2460163.803,1.016640663
2460163.804,1.016196699
2460163.804,1.014374753
2460163.804,1.01068349
2460163.804,1.006044273
2460163.804,1.001828008
2460163.804,0.9994057854
2460163.805,1.000005419
2460163.805,1.003267877
2460163.805,1.007846417
2460163.805,1.012379374
2460163.805,1.015532607
2460163.805,1.016835119
2460163.806,1.016831103
2460163.806,1.016122884
2460163.806,1.015311805
2460163.806,1.014786686
2460163.806,1.014460099
2460163.806,1.014179858
2460163.806,1.013793775
2460163.807,1.013195038
2460163.807,1.012480392
2460163.807,1.011803646
2460163.807,1.011318613
2460163.807,1.011146555
2460163.807,1.011103392
2460163.808,1.010837958
2460163.808,1.009997389
2460163.808,1.00825281
2460163.808,1.00586029
2460163.808,1.003679788
2460163.808,1.002599031
2460163.809,1.003500106
2460163.809,1.006543535
2460163.809,1.010468322
2460163.809,1.013847261
2460163.809,1.015253153
2460163.809,1.013786796
2460163.81,1.010679899
2460163.81,1.007701697
2460163.81,1.006621427
2460163.81,1.008922401
2460163.81,1.013678052
2460163.81,1.018753521
2460163.811,1.022004889
2460163.811,1.021387564
2460163.811,1.016923805
2460163.811,1.010589
2460163.811,1.00443499
2460163.811,1.000502269
2460163.812,0.9997545482
2460163.812,1.001210292
2460163.812,1.00368359
2460163.812,1.005988533
2460163.812,1.007270322
2460163.812,1.007875168
2460163.813,1.008421487
2460163.813,1.009527693
2460163.813,1.011686042
2460163.813,1.014424645
2460163.813,1.016826786
2460163.813,1.017973364
2460163.814,1.016999054
2460163.814,1.014048884
2460163.814,1.010166539
2460163.814,1.006426995
2460163.814,1.003898255
2460163.814,1.003099525
2460163.815,1.003616218
2460163.815,1.004942852
2460163.815,1.006573951
2460163.815,1.008058101
2460163.815,1.009124397
2460163.815,1.009539543
2460163.816,1.009070249
2460163.816,1.007582915
2460163.816,1.005622919
2460163.816,1.004018706
2460163.816,1.003599655
2460163.816,1.005135973
2460163.817,1.008415847
2460163.817,1.01241881
2460163.817,1.016100348
2460163.817,1.018426172
2460163.817,1.018980047
2460163.817,1.018305042
2460163.818,1.017026899
2460163.818,1.015771271
2460163.818,1.014992927
2460163.818,1.014623352
2460163.818,1.01449422
2460163.818,1.014437199
2460163.819,1.014323519
2460163.819,1.014272164
2460163.819,1.01449782
2460163.819,1.015215375
2460163.819,1.016602765
2460163.819,1.018306595
2460163.82,1.019575262
2460163.82,1.019647537
2460163.82,1.017778686
2460163.82,1.013984796
2460163.82,1.009345104
2460163.82,1.005018004
2460163.821,1.002161176
2460163.821,1.001494909
2460163.821,1.0025566
2460163.821,1.004685655
2460163.821,1.007221468
2460163.821,1.009550744
2460163.822,1.011320896
2460163.822,1.012268712
2460163.822,1.012131061
2460163.822,1.010689505
2460163.822,1.008267489
2460163.822,1.005548969
2460163.823,1.003224392
2460163.823,1.001973269
2460163.823,1.002084862
2460163.823,1.003361339
2460163.823,1.005574241
2460163.823,1.008494544
2460163.824,1.011716113
2460163.824,1.014404586
2460163.824,1.01566212
2460163.824,1.014590889
2460163.824,1.010668812
2460163.824,1.005188322
2460163.825,0.999988852
2460163.825,0.9969099486
2460163.825,0.9975756303
2460163.825,1.001356045
2460163.825,1.006278254
2460163.825,1.010351482
2460163.826,1.011645436
2460163.826,1.009913039
2460163.826,1.006769918
2460163.826,1.003928271
2460163.826,1.003094705
2460163.826,1.00497635
2460163.826,1.008135065
2460163.827,1.010855103
2460163.827,1.011420723
2460163.827,1.008717001
2460163.827,1.004212492
2460163.827,1.000070026
2460163.827,0.9984524387
2460163.828,1.001205497
2460163.828,1.007226457
2460163.828,1.013810362
2460163.828,1.018236352
2460163.828,1.017887689
2460163.828,1.01270595
2460163.829,1.005284313
2460163.829,0.9983388762
2460163.829,0.9945752855
2460163.829,0.9953287648
2460163.829,0.9992132255
2460163.829,1.004521405
2460163.83,1.009546026
2460163.83,1.012892112
2460163.83,1.014411616
2460163.83,1.014267731
2460163.83,1.012623656
2460163.83,1.009693424
2460163.831,1.006119011
2460163.831,1.002756673
2460163.831,1.000464236
2460163.831,1.000055291
2460163.831,1.001409369
2460163.831,1.003516382
2460163.832,1.005330859
2460163.832,1.005815177
2460163.832,1.004672293
2460163.832,1.002943054
2460163.832,1.001808888
2460163.832,1.002451199
2460163.833,1.005555285
2460163.833,1.010014432
2460163.833,1.014317448
2460163.833,1.01695314
2460163.833,1.016656724
2460163.833,1.0140225
2460163.834,1.010493209
2460163.834,1.007515894
2460163.834,1.006465022
2460163.834,1.007394497
2460163.834,1.009206854
2460163.834,1.010766038
2460163.835,1.010947675
2460163.835,1.009445309
2460163.835,1.007292648
2460163.835,1.005647598
2460163.835,1.005667893
2460163.835,1.008017514
2460163.836,1.011778938
2460163.836,1.015718655
2460163.836,1.018603147
2460163.836,1.019401307
2460163.836,1.018453768
2460163.836,1.01667065
2460163.837,1.014963901
2460163.837,1.014186965
2460163.837,1.014282389
2460163.837,1.014473022
2460163.837,1.013962099
2460163.837,1.011966262
2460163.838,1.008408927
2460163.838,1.004256198
2460163.838,1.000558006
2460163.838,0.9983638596
2460163.838,0.9983143208
2460163.838,0.9998763918
2460163.839,1.002307844
2460163.839,1.004866444
2460163.839,1.006895543
2460163.839,1.008246959
2460163.839,1.008959603
2460163.839,1.009072687
2460163.84,1.008649157
2460163.84,1.008066887
2460163.84,1.007927055
2460163.84,1.008835587
2460163.84,1.011379262
2460163.84,1.015343146
2460163.841,1.019436299
2460163.841,1.022292242
2460163.841,1.022546168
2460163.841,1.019637968
2460163.841,1.015103534
2460163.841,1.010815703
2460163.842,1.008647313
2460163.842,1.010015393
2460163.842,1.013895719
2460163.842,1.018450128
2460163.842,1.021839937
2460163.842,1.02238088
2460163.843,1.020199965
2460163.843,1.016600193
2460163.843,1.012904522
2460163.843,1.010415949
2460163.843,1.009757327
2460163.843,1.010719678
2460163.844,1.013043349
2460163.844,1.016467901
2460163.844,1.020529628
2460163.844,1.024289973
2460163.844,1.026742714
2460163.844,1.026881634
2460163.845,1.024038323
2460163.845,1.019170212
2460163.845,1.013723279
2460163.845,1.009143546
