x,y_interpolated
2460162.663,0.9864479
2460162.663,0.9906093785
2460162.663,0.9938758723
2460162.663,0.9966351235
2460162.663,0.9992748464
2460162.663,1.002182784
2460162.663,1.005708755
2460162.663,1.009561337
2460162.664,1.012916486
2460162.664,1.01493417
2460162.664,1.014774346
2460162.664,1.011606202
2460162.664,1.005389849
2460162.664,0.9974715157
2460162.664,0.9893374907
2460162.665,0.9824740787
2460162.665,0.978367585
2460162.665,0.9780963952
2460162.665,0.9809835615
2460162.665,0.9858800873
2460162.665,0.9916369776
2460162.665,0.9971052549
2460162.665,1.001207289
2460162.666,1.00368974
2460162.666,1.004828234
2460162.666,1.004907087
2460162.666,1.004210616
2460162.666,1.003022308
2460162.666,1.00158587
2460162.666,1.000088613
2460162.667,0.9987135581
2460162.667,0.9976437424
2460162.667,0.9970621823
2460162.667,0.9971308376
2460162.667,0.9979474587
2460162.667,0.9995979412
2460162.667,1.002168162
2460162.667,1.005744014
2460162.668,1.010348856
2460162.668,1.015427399
2460162.668,1.020111175
2460162.668,1.023528587
2460162.668,1.024808091
2460162.668,1.023170468
2460162.668,1.019015437
2460162.669,1.013050912
2460162.669,1.005895471
2460162.669,0.9981677067
2460162.669,0.9904862087
2460162.669,0.9834695453
2460162.669,0.9777363587
2460162.669,0.9739052134
2460162.669,0.9725947002
2460162.67,0.9744234227
2460162.67,0.9797332459
2460162.67,0.9873968259
2460162.67,0.9958529423
2460162.67,1.00354311
2460162.67,1.008908857
2460162.67,1.010452623
2460162.67,1.00815186
2460162.671,1.003500509
2460162.671,0.9980617926
2460162.671,0.9933989189
2460162.671,0.9910728334
2460162.671,0.9918751796
2460162.671,0.9947187191
2460162.671,0.9982347219
2460162.672,1.001054418
2460162.672,1.001809076
2460162.672,0.999438783
2460162.672,0.9947990897
2460162.672,0.9894789074
2460162.672,0.985068695
2460162.672,0.9831588505
2460162.672,0.9852482252
2460162.673,0.9910996302
2460162.673,0.9989233391
2460162.673,1.006874986
2460162.673,1.013110191
2460162.673,1.015791106
2460162.673,1.014117695
2460162.673,1.009454516
2460162.674,1.003436939
2460162.674,0.9977003349
2460162.674,0.9938800737
2460162.674,0.9932701531
2460162.674,0.9953733936
2460162.674,0.9991071643
2460162.674,1.003388512
2460162.674,1.007134494
2460162.675,1.009313249
2460162.675,1.009650245
2460162.675,1.008450018
2460162.675,1.006031777
2460162.675,1.002714718
2460162.675,0.9988186352
