x,y_interpolated
2460162.814,1.0059091
2460162.814,1.011345742
2460162.814,1.016565177
2460162.814,1.020395045
2460162.814,1.021663034
2460162.814,1.019291179
2460162.814,1.013780369
2460162.815,1.006938291
2460162.815,1.000611905
2460162.815,0.9966460049
2460162.815,0.9960876073
2460162.815,0.9980104242
2460162.815,1.001188338
2460162.816,1.004395244
2460162.816,1.006519401
2460162.816,1.00741764
2460162.816,1.007434228
2460162.816,1.006917141
2460162.816,1.006212595
2460162.817,1.005571005
2460162.817,1.005099759
2460162.817,1.004894549
2460162.817,1.005051071
2460162.817,1.005633717
2460162.817,1.00655533
2460162.817,1.007682946
2460162.818,1.008883603
2460162.818,1.01002177
2460162.818,1.010907417
2460162.818,1.01129833
2460162.818,1.010950209
2460162.818,1.009619019
2460162.819,1.007272013
2460162.819,1.004467856
2460162.819,1.001867866
2460162.819,1.000133366
2460162.819,0.9998439208
2460162.819,1.00078524
2460162.82,1.002296654
2460162.82,1.003712531
2460162.82,1.004373567
2460162.82,1.004060495
2460162.82,1.003272696
2460162.82,1.002575855
2460162.821,1.00253566
2460162.821,1.003587663
2460162.821,1.005467385
2460162.821,1.007675973
2460162.821,1.009714425
2460162.821,1.011094792
2460162.821,1.011593819
2460162.822,1.011258529
2460162.822,1.010148146
2460162.822,1.008321948
2460162.822,1.005949724
2460162.822,1.003549385
2460162.822,1.001707235
2460162.823,1.001009555
2460162.823,1.001961247
2460162.823,1.004150804
2460162.823,1.0065893
2460162.823,1.008278816
2460162.823,1.008229729
2460162.824,1.00627526
2460162.824,1.003756268
2460162.824,1.002174821
2460162.824,1.003032997
2460162.824,1.007435049
2460162.824,1.014051763
2460162.824,1.020634026
2460162.825,1.024931076
2460162.825,1.02476447
2460162.825,1.020068942
2460162.825,1.013176468
2460162.825,1.006548434
2460162.825,1.002646211
2460162.826,1.003068354
2460162.826,1.00642565
2460162.826,1.010682512
2460162.826,1.013803392
2460162.826,1.013909313
2460162.826,1.011134466
2460162.827,1.007009571
2460162.827,1.003093404
2460162.827,1.000939033
2460162.827,1.00129174
2460162.827,1.003263482
2460162.827,1.005769224
2460162.828,1.007723938
2460162.828,1.008213166
2460162.828,1.007466977
2460162.828,1.006186221
2460162.828,1.00507319
2460162.828,1.004810498
2460162.828,1.005436171
2460162.829,1.006214866
2460162.829,1.006365524
2460162.829,1.005107087
2460162.829,1.002030783
2460162.829,0.9981201954
2460162.829,0.9946844029
2460162.83,0.9930324449
2460162.83,0.9943561711
2460162.83,0.9981930041
2460162.83,1.002855788
2460162.83,1.006628616
2460162.83,1.0078009
2460162.831,1.0056899
2460162.831,1.001854958
2460162.831,0.9981509913
2460162.831,0.9964329193
2460162.831,0.9982358106
2460162.831,1.002684938
2460162.831,1.007807287
2460162.832,1.01162431
2460162.832,1.012197677
2460162.832,1.009289725
2460162.832,1.004953647
2460162.832,1.0014042
2460162.832,1.000856179
2460162.833,1.004821594
2460162.833,1.011809907
2460162.833,1.019528741
2460162.833,1.02568579
2460162.833,1.028095816
2460162.833,1.02640744
2460162.834,1.021809065
2460162.834,1.01553683
2460162.834,1.00882658
2460162.834,1.002775093
2460162.834,0.9981299655
2460162.834,0.9955848821
2460162.835,0.9958334863
2460162.835,0.9993928825
2460162.835,1.005251303
2460162.835,1.011612988
2460162.835,1.016675857
2460162.835,1.018660252
2460162.835,1.017029214
2460162.836,1.013113335
2460162.836,1.008397187
2460162.836,1.004365333
2460162.836,1.002201751
2460162.836,1.001635063
2460162.836,1.001954115
2460162.837,1.002447656
2460162.837,1.002431595
2460162.837,1.001766322
2460162.837,1.000815524
2460162.837,0.9999617931
2460162.837,0.9995875338
2460162.838,0.9999306158
2460162.838,1.000828486
2460162.838,1.002049805
2460162.838,1.003363248
2460162.838,1.004540762
2460162.838,1.005482117
2460162.838,1.006202704
2460162.839,1.006720831
2460162.839,1.007054801
2460162.839,1.007222922
2460162.839,1.007243498
2460162.839,1.007134836
2460162.839,1.006915241
2460162.84,1.006603019
2460162.84,1.006216474
2460162.84,1.005773914
2460162.84,1.005293642
2460162.84,1.004793967
2460162.84,1.004293191
2460162.841,1.003809623
2460162.841,1.003361566
2460162.841,1.002967327
2460162.841,1.002645212
2460162.841,1.002413525
2460162.841,1.002256617
2460162.842,1.002079691
2460162.842,1.001995338
2460162.842,1.002140877
2460162.842,1.002653405
2460162.842,1.003511109
2460162.842,1.004253998
2460162.842,1.004347232
2460162.843,1.003255967
2460162.843,1.000569285
2460162.843,0.9970697606
