x,y_interpolated
2460483.718,0.9963351
2460483.719,0.9976989011
2460483.719,0.9990685601
2460483.719,0.999827626
2460483.719,0.9993596602
2460483.719,0.9973902953
2460483.72,0.9949048214
2460483.72,0.9931784019
2460483.72,0.9934861302
2460483.72,0.9965262729
2460483.72,1.001015346
2460483.72,1.005244607
2460483.721,1.007505557
2460483.721,1.006777199
2460483.721,1.004229167
2460483.721,1.001466465
2460483.721,1.00009356
2460483.722,1.001062536
2460483.722,1.003406377
2460483.722,1.005806954
2460483.722,1.00694776
2460483.722,1.006110102
2460483.722,1.004004094
2460483.723,1.001543238
2460483.723,0.9996410352
2460483.723,0.9992109743
2460483.723,1.000947205
2460483.723,1.004036967
2460483.724,1.007035041
2460483.724,1.008494062
2460483.724,1.00727468
2460483.724,1.004134235
2460483.724,1.000551467
2460483.724,0.9980065184
2460483.725,0.9977059355
2460483.725,0.9992955513
2460483.725,1.001868629
2460483.725,1.004517786
2460483.725,1.006435556
2460483.726,1.007363604
2460483.726,1.007230873
2460483.726,1.005966447
2460483.726,1.003616283
2460483.726,1.000894245
2460483.726,0.9987510409
2460483.727,0.9981376426
2460483.727,0.9997268099
2460483.727,1.002887012
2460483.727,1.006607896
2460483.727,1.00987914
2460483.727,1.011690416
2460483.728,1.011125282
2460483.728,1.008525145
2460483.728,1.005082473
2460483.728,1.002001292
2460483.728,1.000429478
2460483.729,1.000546228
2460483.729,1.001713361
2460483.729,1.003267065
2460483.729,1.004563986
2460483.729,1.005276909
2460483.729,1.005327241
2460483.73,1.004643087
2460483.73,1.00327709
2460483.73,1.001695698
2460483.73,1.000012518
2460483.73,0.9982979009
2460483.731,0.9966222126
2460483.731,0.995055814
2460483.731,0.9936690659
2460483.731,0.992532332
2460483.731,0.991715967
2460483.731,0.9912903353
2460483.732,0.9913257978
2460483.732,0.9918927154
2460483.732,0.9930614491
2460483.732,0.9948232953
2460483.732,0.9967871388
2460483.733,0.9986707347
2460483.733,1.000217508
2460483.733,1.001211789
2460483.733,1.001723534
2460483.733,1.00189707
2460483.733,1.001871608
2460483.734,1.001786356
2460483.734,1.001780527
2460483.734,1.001993331
2460483.734,1.002531274
2460483.734,1.003275266
2460483.735,1.004143195
2460483.735,1.005072911
2460483.735,1.005994584
2460483.735,1.006684138
2460483.735,1.006774743
2460483.735,1.005894199
2460483.736,1.003708061
2460483.736,1.000532846
2460483.736,0.9972341691
2460483.736,0.9946948752
2460483.736,0.9937507359
2460483.736,0.9945001165
2460483.737,0.996456286
2460483.737,0.9991164396
2460483.737,1.001971874
2460483.737,1.004432829
2460483.737,1.005850546
2460483.738,1.005574931
2460483.738,1.003045297
2460483.738,0.9987180664
2460483.738,0.9936916912
2460483.738,0.989074426
2460483.738,0.9859745247
2460483.739,0.9854860947
2460483.739,0.9877503164
2460483.739,0.9916051312
2460483.739,0.9958274593
2460483.739,0.9991981994
2460483.74,1.00100134
2460483.74,1.001509879
2460483.74,1.001112109
2460483.74,1.000195824
2460483.74,0.9990947636
2460483.74,0.9980412537
2460483.741,0.9972564418
2460483.741,0.9969595596
2460483.741,0.9971935279
2460483.741,0.997685713
2460483.741,0.998130713
2460483.742,0.9982259297
2460483.742,0.9978824989
2460483.742,0.9973722122
2460483.742,0.9970015902
2460483.742,0.9970631377
2460483.742,0.9975028595
2460483.743,0.9980239111
2460483.743,0.998343783
2460483.743,0.9981799655
2460483.743,0.997249949
2460483.743,0.9954466617
2460483.743,0.9931960767
2460483.744,0.990991039
2460483.744,0.9893240956
2460483.744,0.988627775
2460483.744,0.9890657093
2460483.744,0.9907262673
2460483.745,0.9936978123
2460483.745,0.997891276
2460483.745,1.002488983
2460483.745,1.006486253
2460483.745,1.008878437
2460483.745,1.008979123
2460483.746,1.007312523
2460483.746,1.004690637
2460483.746,1.001925463
2460483.746,0.9996936177
2460483.746,0.9981992912
2460483.747,0.9975436511
2460483.747,0.9978272954
2460483.747,0.9989119664
2460483.747,1.000364817
2460483.747,1.001794935
2460483.747,1.00281141
2460483.748,1.003023333
2460483.748,1.002042131
2460483.748,0.9998715199
2460483.748,0.9971547507
2460483.748,0.9945660105
2460483.749,0.9927789899
2460483.749,0.9922356552
2460483.749,0.9927773054
2460483.749,0.9941491934
2460483.749,0.9960962921
2460483.749,0.9982821266
2460483.75,1.000176478
2460483.75,1.001220997
2460483.75,1.000858026
2460483.75,0.9989086778
2460483.75,0.9962011169
2460483.751,0.993729009
2460483.751,0.9924849158
2460483.751,0.9930152583
2460483.751,0.9947386717
2460483.751,0.9968983027
2460483.751,0.9987367719
2460483.752,0.9997061641
2460483.752,0.9999088343
2460483.752,0.9995654355
2460483.752,0.9988966244
2460483.752,0.9981230576
2460483.752,0.9974026127
2460483.753,0.9969110217
2460483.753,0.9969189142
2460483.753,0.9976971273
2460483.753,0.9993930802
2460483.753,1.001623843
2460483.754,1.003864053
2460483.754,1.005588362
2460483.754,1.006396727
2460483.754,1.006385171
2460483.754,1.005772435
2460483.754,1.004777261
2460483.755,1.003576998
2460483.755,1.002198207
2460483.755,1.000633112
2460483.755,0.998873946
2460483.755,0.9969554452
2460483.756,0.995057325
2460483.756,0.9933902005
2460483.756,0.992165686
2460483.756,0.9917168597
2460483.756,0.9920792287
2460483.756,0.9930899276
2460483.757,0.9945860889
2460483.757,0.996404845
2460483.757,0.9983833284
2460483.757,1.000367737
2460483.757,1.002088151
2460483.758,1.003199687
2460483.758,1.003357428
2460483.758,1.002381286
2460483.758,1.0007654
2460483.758,0.9991762519
2460483.758,0.9982803392
2460483.759,0.9985028792
2460483.759,0.9993631664
2460483.759,1.000167912
2460483.759,1.000223853
2460483.759,0.9991237272
2460483.76,0.9974557995
2460483.76,0.9960248146
2460483.76,0.9956353831
2460483.76,0.9967652756
2460483.76,0.9988624848
2460483.76,1.001172688
2460483.761,1.002943746
2460483.761,1.003827937
2460483.761,1.003976684
2460483.761,1.003502635
2460483.761,1.00251844
2460483.761,1.001136746
2460483.762,0.9994702037
2460483.762,0.9976314667
2460483.762,0.9957331745
2460483.762,0.9938879807
2460483.762,0.9922085346
2460483.763,0.9908074853
2460483.763,0.9897974841
2460483.763,0.9892911746
2460483.763,0.9894012091
2460483.763,0.9901948269
2460483.763,0.9912131115
2460483.764,0.9924393938
2460483.764,0.9940415273
2460483.764,0.9961813978
2460483.764,0.9987304938
2460483.764,1.001145695
2460483.765,1.002852063
2460483.765,1.00328764
2460483.765,1.002421242
2460483.765,1.000926685
2460483.765,0.9995264987
2460483.765,0.9989299362
2460483.766,0.9993738471
2460483.766,1.000505646
2460483.766,1.001935697
2460483.766,1.003278914
2460483.766,1.004295416
2460483.767,1.004917475
2460483.767,1.005087349
2460483.767,1.004740366
2460483.767,1.003861853
2460483.767,1.00262919
2460483.767,1.00124149
2460483.768,0.9998978561
2460483.768,0.9987974021
2460483.768,0.9981143842
2460483.768,0.997795704
2460483.768,0.998004972
2460483.768,0.9989794409
2460483.769,1.000943445
2460483.769,1.003645842
2460483.769,1.006232938
2460483.769,1.007812259
2460483.769,1.007509881
2460483.77,1.005250474
2460483.77,1.002043096
2460483.77,0.9989741775
2460483.77,0.9971106008
2460483.77,0.9967918345
2460483.77,0.9974307175
2460483.771,0.9983799712
2460483.771,0.999003744
2460483.771,0.9990410899
