x_interp,y_interp,y_err,y_lo,y_hi
8.666666667,1.002832786,0.001756055099,1.000924078,1.004461369
14.18181818,0.9993015787,0.00147069141,0.9978711641,1.000856289
19.6969697,0.9984090118,0.001604548174,0.9969055563,1.000087512
25.21212121,0.9987223582,0.001816283337,0.9970292707,1.000516883
30.72727272,0.9989744005,0.001634018119,0.9974620934,1.000548378
36.24242424,0.9989193284,0.001317260149,0.9976273968,1.000327569
41.75757575,0.9987005853,0.001627401018,0.9970441786,1.000374063
47.27272727,0.9984599301,0.001710753563,0.9967167593,1.000190768
52.78787878,0.9983150456,0.001697291126,0.9964627505,0.9999047316
58.3030303,0.9983699491,0.001970817908,0.9961744122,1.000388375
63.81818181,0.9987116023,0.001926536106,0.9966786601,1.000400235
69.33333333,0.9991431187,0.00159375665,0.9975032404,1.000532266
74.84848484,0.9992320836,0.001613091254,0.9975564098,1.000500442
80.36363635,0.9985457362,0.001669621614,0.9970131635,0.999849811
85.87878787,0.9968753993,0.001554672265,0.99525029,0.9982243719
91.39393938,0.9942824516,0.001689837259,0.9922514855,0.9958123193
96.9090909,0.9908474103,0.001783381972,0.9886801105,0.9925191787
102.4242424,0.9869174428,0.001661564775,0.9849891775,0.9885450046
107.9393939,0.98330951,0.001781456793,0.9815913021,0.985079536
113.4545454,0.9808876891,0.001891191437,0.9791292379,0.982706895
118.969697,0.9801578632,0.001651973488,0.9785772161,0.9816767811
124.4848485,0.9806860085,0.001576216088,0.9792541233,0.9820499575
130,0.9818857983,0.001695887348,0.9800708312,0.9832747559
135.5151515,0.9832720982,0.001562365382,0.9816016118,0.9846401991
141.030303,0.9847645428,0.001546176605,0.9830280378,0.986150377
146.5454545,0.9863839589,0.001700209098,0.9846167935,0.9877901125
152.060606,0.9881417469,0.001566908034,0.9865930031,0.989691728
157.5757576,0.9899911321,0.001483966212,0.9884311029,0.9915113326
163.0909091,0.9918631698,0.001655227845,0.990173047,0.9934494493
168.6060606,0.9936944295,0.001580620178,0.992060723,0.9950810875
174.1212121,0.9954760822,0.001480706989,0.9938627999,0.9968578463
179.6363636,0.9972302899,0.001685994932,0.9955777416,0.9987959868
185.1515151,0.9989722941,0.001714263407,0.9972738047,1.000464673
190.6666666,1.000595121,0.001576830262,0.9991561277,1.001931763
196.1818182,1.001890389,0.00163358807,1.000124581,1.003400946
201.6969697,1.002650072,0.001581626601,1.001044288,1.004321196
207.2121212,1.002779456,0.001400705801,1.001602358,1.00417362
212.7272727,1.002320378,0.001537095091,1.001110631,1.004050796
218.2424242,1.001325703,0.001617911827,1.00008667,1.003033073
223.7575757,1.000101021,0.001479967876,0.9987814152,1.00158621
229.2727272,0.9993971705,0.00161575733,0.9978917227,1.00094043
234.7878788,0.9999955981,0.001690249374,0.9982867432,1.001596362
240.3030303,1.00157951,0.001520848337,1.000149374,1.003032939
245.8181818,1.003547864,0.001491493516,1.00200035,1.004950661
251.3333333,1.005708439,0.001918955711,1.00353228,1.007512246
