x_interp,y_interp,y_err,y_lo,y_hi
8,1.034573957,0.001727156264,1.03269666,1.036175739
13.09090909,1.020808,0.001500138127,1.019315024,1.022294544
18.18181818,1.020183644,0.001541410519,1.018729889,1.021832055
23.27272727,1.02393251,0.001668359419,1.022372187,1.025578268
28.36363636,1.024453856,0.001506928426,1.023073678,1.025889448
33.45454545,1.021352771,0.001238513086,1.020130758,1.022671951
38.54545455,1.016980455,0.001590866715,1.015354963,1.018599165
43.63636364,1.013525359,0.001670065741,1.011817649,1.015265302
48.72727273,1.011524011,0.001567255652,1.009738782,1.013004039
53.81818182,1.010575323,0.001744486887,1.008608395,1.012374698
58.90909091,1.010268528,0.001707959528,1.008442425,1.011772524
64,1.010211064,0.001472435349,1.008630062,1.011500029
69.09090909,1.01002547,0.00156877981,1.008398604,1.011252236
74.18181818,1.009350108,0.001626859707,1.007860985,1.010616521
79.27272727,1.008330992,0.001474130856,1.006849954,1.009624619
84.36363636,1.007725934,0.001550148671,1.005869348,1.009126954
89.45454545,1.008321431,0.001625759316,1.006354928,1.009828669
94.54545455,1.010229835,0.001517062522,1.008425599,1.011725758
99.63636364,1.01237576,0.001619940033,1.010828589,1.013919167
104.7272727,1.013563887,0.001711998814,1.01197506,1.015223538
109.8181818,1.013089892,0.001579307415,1.011609766,1.014627849
114.9090909,1.011537839,0.001729284488,1.009944483,1.013097904
120,1.00970056,0.001943454869,1.007620642,1.011292279
125.0909091,1.008258953,0.001732319119,1.00640098,1.009714328
130.1818182,1.007446181,0.001554709304,1.005673994,1.00884693
135.2727273,1.007383471,0.001640508101,1.005683471,1.008732693
140.3636364,1.008087318,0.001514022985,1.006590415,1.009557818
145.4545455,1.008927873,0.001427335553,1.007431885,1.010408827
150.5454545,1.009028973,0.001588617405,1.007410532,1.010549267
155.6363636,1.007628055,0.001511192861,1.006071753,1.00896614
160.7272727,1.005083363,0.001365464544,1.003599079,1.006369714
165.8181818,1.002389299,0.001508140726,1.000895439,1.003770095
170.9090909,1.000487247,0.001543601517,0.9989582849,1.001819567
176,0.9993054324,0.001496267198,0.9979411544,1.000578532
181.0909091,0.9979313964,0.001635574889,0.9962106426,0.9994622384
186.1818182,0.9954547732,0.001595884211,0.9938594501,0.9971057003
191.2727273,0.9918750729,0.001356499118,0.9906847063,0.9932319827
196.3636364,0.9882883485,0.001410929232,0.987158756,0.9898783739
201.4545455,0.9858466618,0.001477825062,0.9847010652,0.9874068842
206.5454545,0.984894104,0.0013647759,0.9836909631,0.9862492099
211.6363636,0.9843512534,0.001505935857,0.9829409505,0.98580274
216.7272727,0.983010093,0.001579439129,0.9814122641,0.9845068386
221.8181818,0.98093029,0.001400136152,0.9796005449,0.9822762522
226.9090909,0.9786409005,0.001311613073,0.977237757,0.9798861308
232,0.9762467177,0.001646022883,0.9743800731,0.9777939691
